正文 nz
同时 c
想到 v
， x
我 r
和 c
一个 m
男人 n
共同 d
生活 vn
的 uj
日子 n
将 d
会 v
临近 v
了 ul
。 x
这 r
恼人 a
而 c
甜蜜 a
的 uj
想法 v
， x
时不时 d
来 v
纠缠 v
我 r
， x
弄 v
得 ud
人 n
心神不安 i
。 x
你 r
千万 m
不要 df
误会 n
我 r
是 v
要 v
和 c
他 r
马上 d
结婚 v
。 x
不 d
， x
这 r
一两年 m
不会 v
的 uj
。 x
虽然 c
我 r
和 c
他 r
都 d
来自 v
农村 n
， x
但 c
我们 r
已经 d
接受 v
过 ug
高等教育 l
， x
不会 v
像 v
我们 r
在 p
乡下 s
的 uj
同学 n
那样 r
早婚 v
。 x
我 r
是 v
说 v
， x
我 r
和 c
他 r
将要 d
以 p
未婚 v
夫妻 n
的 uj
关系 n
分配 vn
到 v
同一个 b
地方 n
工作 vn
。 x
他 r
是 v
省 n
师范大学 n
中文系 nt
的 uj
应届 v
毕业生 n
， x
是 v
我 r
的 uj
同乡 n
。 x
他们 r
村离 n
我们 r
村 zg
只有 c
五里 m
路 n
， x
我 r
和 c
他 r
从 p
小学 n
一年级 b
就 d
同学 n
， x
拿 v
句 q
俗话说 l
， x
我们 r
是 v
青梅竹马 ns
。 x
不过 c
， x
我们 r
早 a
商量 n
好 a
了 ul
， x
毕业 n
后 f
不 d
回 v
我们 r
县 zg
， x
而要 c
到 v
更 d
往 p
北 f
的 uj
一个 m
地区 n
去 v
工作 vn
。 x
那里 r
一半 m
山区 ns
， x
和 c
我们 r
的 uj
家乡 n
一样 r
属 v
黄土高原 ns
， x
另一半 d
已经 d
是 v
毛乌素 nr
大 a
沙漠 n
了 ul
。 x
我们 r
中学 n
时 ng
曾 d
一块 m
去 v
沙漠 n
中 f
的 uj
一个 m
县城 n
参加 v
过 ug
体育运动 n
会 v
， x
被 p
那里 r
荒漠 n
而 c
壮丽 a
的 uj
风光 n
深深 b
吸引 v
。 x
我们 r
曾 d
站 v
在 p
古城 ns
雄伟 a
的 uj
烽火台 n
上 f
， x
热血沸腾 i
地 uv
约定 v
： x
将来 t
我们 r
一定 d
要 v
到 v
这里 r
来 v
工作 vn
。 x
当时 t
这 r
多半 m
有些 r
孩子气 n
。 x
但 c
这 r
多年 m
里 f
我们 r
可 v
一直 d
认真 ad
地 uv
对待 v
这个 r
孩子气 n
的 uj
想法 v
。 x
请 v
不要 df
见笑 v
我们 r
， x
人 n
在 p
少年 m
时候 n
的 uj
某种 r
想法 v
， x
说不定 l
会 v
在 p
一个 m
人 n
一生 m
中 f
起 v
作用 v
。 x
至少 d
， x
我们 r
现在 t
仍然 d
忠于 v
这个 r
当初 t
的 uj
誓言 n
。 x
我 r
的 uj
朋友 n
为此 r
写守 v
不少 d
诗 n
。 x
他 r
喜欢 v
写诗 n
， x
往往 t
比 p
我 r
更 d
富于 v
浪漫 a
的 uj
激情 n
。 x
我 r
喜欢 v
他 r
， x
这 r
也 d
是 v
一个 m
很 zg
重要 a
的 uj
原因 n
。 x
至于 p
我 r
， x
从小 d
就 d
比较 d
喜欢 v
一种 m
激荡 v
的 uj
生活 vn
， x
并且 c
对此 d
抱 v
有 v
一种 m
执拗 v
的 uj
态度 n
。 x
不要 df
因此 c
就 d
认为 v
我 r
是 v
个 q
“ x
假小子 n
” x
。 x
从 p
一切 r
方面 n
， x
尤其 d
从 p
感情 n
方面 n
来说 u
， x
我 r
是 v
一个 m
地道 n
的 uj
女孩子 n
。 x
现在 t
我 r
常常 d
想象 n
我们 r
已经 d
到 v
了 ul
那里 r
。 x
那 r
地方 n
开始 v
我们 r
会 v
没有 v
熟人 n
， x
因此 c
我们 r
将 d
格外 d
贴近 v
。 x
我会 n
和 c
他 r
在 p
异乡 n
陌生人 n
的 uj
目光 n
下 f
， x
一块 m
散步 n
， x
一块 m
看 v
电影 n
。 x
说不定 l
我 r
还 d
会 v
忘掉 v
本地 r
习俗 n
， x
像 v
后来 t
我们 r
在 p
这个 r
城市 ns
一样 r
， x
挽 v
着 uz
他 r
的 uj
胳膊 n
走路 n
。 x
这 r
肯定 v
会 v
招惹 v
许多 m
嫌恶 n
的 uj
目光 n
。 x
我 r
有趣 a
！ x
我 r
肯定 v
会 v
时不时 d
去 v
他 r
的 uj
单位 n
， x
他 r
也 d
会 v
时不时 d
到 v
我 r
的 uj
单位 n
来 v
。 x
说不定 l
我们 r
还 d
得 ud
买 v
个 q
煤油炉 n
子 ng
和 c
一些 m
炊具 n
， x
以便 c
在 p
星期天 t
一块 m
开小灶 l
。 x
这些 r
东西 ns
当然 d
会 v
放在 v
我 r
那里 r
， x
因为 c
我 r
是 v
女人 n
。 x
天 q
啊 y
， x
真 d
可怕 c
！ x
我 r
还 d
想到 v
我们 r
以后 f
会 v
有 v
一个 m
孩子 n
。 x
我 r
喜欢 v
胖小子 n
， x
但 c
他 r
说 v
他 r
喜欢 v
女孩 n
… x
… x
现在 t
我 r
该 r
来说 u
说 v
， x
我 r
口口声声 i
提到 v
的 uj
那个 r
“ x
他 r
” x
是 v
谁 r
了 ul
。 x
他 r
叫 v
薛峰 x
。 x
如果 c
你 r
读 v
过 ug
省 n
文学刊物 l
《 x
北方 f
》 x
去年 t
的 uj
第五期 m
， x
你 r
就 d
会 v
看见 v
他 r
在 p
上面 f
发表 v
的 uj
一 m
组诗 n
《 x
青春乐章 x
》 x
。 x
不过 c
， x
署名 v
是 v
薛峰 x
， x
取 v
他 r
名字 n
的 uj
谐音 n
。 x
不满 a
你 r
说 v
， x
这个 r
笔名 n
是 v
我 r
给 p
他 r
起 v
的 uj
。 x
关心 n
我们 r
的 uj
人 n
大概 d
主要 b
想 v
知道 v
我们 r
现在 t
和 c
以后 f
的 uj
事 n
， x
因此 c
关于 p
我们 r
的 uj
过去 t
我 r
只 d
在 p
这里 r
简单 a
地 uv
说一说 l
。 x
大家 n
已经 d
知道 v
了 ul
， x
我 r
和 c
他 r
从小 d
就是 d
同学 n
。 x
初中 f
和 c
高中 s
也 d
是 v
一块 m
在 p
县城 n
上 f
的 uj
。 x
除 p
过 ug
初中 f
我们 r
分 v
在 p
两个 m
班外 s
， x
小学 n
和 c
高中 s
我们 r
不仅 c
是 v
同班 n
， x
而且 c
是 v
同桌 n
。 x
在 p
我们 r
那 r
穷乡僻壤 i
， x
能 v
进入 v
县 n
办 v
初中 f
和 c
高中 s
是 v
极 d
不 d
容易 a
的 uj
。 x
那些 r
有限 a
的 uj
桌椅板凳 n
几乎 d
全 a
被 p
县城 n
的 uj
学生 n
争夺 v
去 v
了 ul
， x
乡下 s
的 uj
学生 n
大部分 m
只能 v
上 f
社办 n
中学 n
― x
― x
这 r
意味着 v
他们 r
大部分 m
初中 f
毕业 n
后 f
就 d
得 ud
回 v
农村 n
当 t
庄稼汉 nrfg
。 x
师资 n
水平 n
低 a
和 c
教学 n
条件 n
和 c
简陋 a
造成 v
了 ul
他们 r
大部分 m
再 d
不能 v
深造 v
。 x
有 v
的 uj
社办 n
中学 n
连 nr
外语课 n
都 d
不开 v
， x
学生 n
们 k
怎么 r
能 v
考上 v
大学 n
呢 y
？ x
我 r
和 c
薛峰 x
用 p
我们 r
良好 a
的 uj
成绩 n
在 p
县 n
中 f
争得 v
了 ul
自己 r
的 uj
位置 v
。 x
在 p
我们 r
整个 b
一道 m
川 j
十来个 d
村子 n
里 f
， x
我们 r
两个 m
是 v
唯一 b
进入 v
这 r
座 q
神圣 ns
殿堂 n
的 uj
。 x
在 p
初中 f
升高 v
的 uj
考试 vn
中 f
， x
薛峰 x
竟然 d
考 v
了 ul
全县 n
第一名 m
。 x
我们 r
从小到大 l
， x
基本上 n
经常 d
在 p
一块 m
。 x
城里 s
上学时 n
， x
星期六 t
下午 t
回家 n
和 c
星期天 t
下竿 n
返校 v
， x
我们 r
都 d
是 v
一块 m
相 v
跟着 v
走 v
。 x
当然 d
， x
这 r
中间 f
也 d
发生 v
过 ug
一些 m
糟糕 a
的 uj
事 n
。 x
班上 s
的 uj
同学 n
们 k
曾 d
挤眉弄眼 i
地 uv
议论 n
过 ug
我们 r
。 x
回 v
村 n
时 ng
， x
公路 n
两边 f
我们 r
熟悉 v
的 uj
庄稼人 nrfg
也 d
曾 d
粗鲁 a
地 uv
喊叫 v
我们 r
是 v
“ x
两口子 n
” x
。 x
这 r
一切 r
是 v
多么 r
叫 v
人 n
生气 n
。 x
但是 c
后来 t
长大 ns
了 ul
， x
我 r
自己 r
在 p
内心深处 i
也 d
承认 v
我 r
这 r
一生 m
不能 v
再 d
离开 v
他 r
了 ul
。 x
当 p
我 r
朦胧 a
地 uv
懂得 v
爱情 n
时 n
， x
我 r
就 d
知道 v
我 r
喜欢 v
的 uj
是 v
他 r
。 x
我 r
知道 v
他 r
喜欢 v
的 uj
也 d
是 v
我 r
。 x
十九岁 m
那年 r
， x
我们 r
离开 v
家乡 n
， x
一同 d
考进 v
了 ul
省城 n
的 uj
大学 n
。 x
我 r
以 p
第一 m
志愿 n
被 p
录取 v
， x
进 v
了 ul
林业 n
学院 n
水土保持 nr
专 n
来 v
； x
他 r
是 v
第二 m
志愿 n
， x
考到 v
了 ul
省 n
师范大学 n
中文系 nt
。 x
上 f
大学 n
之前 f
， x
由于 c
我们 r
小 a
， x
关于 p
我们 r
之间 f
相互 d
喜欢 v
的话 u
当然 d
谁 r
也 d
没有 v
说 v
过 ug
。 x
上 f
大学 n
的 uj
第一年 m
也 d
没 d
说 v
。 x
但 c
这种 r
关系 n
实际 n
双方 n
在内 u
心里 s
早已 d
明白 nr
了 ul
。 x
到 v
大城市 ns
后 f
， x
由于 c
人生 n
地疏 n
， x
我们 r
相互间 l
完全 ad
成 v
了 ul
亲人 n
。 x
我们 r
经常 d
在 p
一块 m
会面 n
， x
但 c
倒 v
不是 c
在 p
谈情说爱 i
。 x
谈 v
的 uj
无非 c
是 v
学习 v
和 c
我们 r
未来 t
将要 d
去 v
的 uj
那个 r
地方 n
― x
― x
那个 r
有着 v
广阔 a
无边 d
的 uj
大 n
沙漠 n
， x
有着 v
蜿蜒 v
的 uj
古长城 nr
残迹 n
的 uj
福奇 nr
的 uj
土地 n
。 x
我 r
说 v
我 r
要 v
在 p
那里 r
栽 v
许多 m
树 v
， x
种 m
许多许多 m
草 n
。 x
他 r
说 v
他 r
要 v
在 p
那里 r
写出 v
一些 m
惊人 a
的 uj
诗篇 n
来 v
。 x
这些 r
火热 n
的 uj
生活 vn
多么 r
叫 v
人 n
神往 v
啊 zg
！ x
一直 d
到 v
大学 n
二年级 b
的 uj
后 n
半年 m
， x
有 v
一天 m
， x
我们 r
一块 m
相 v
跟着 v
在 p
街上 s
走 v
。 x
他 r
突然 ad
站住 v
了 ul
， x
结巴 n
着 uz
说 v
： x
“ x
郑小芳 x
， x
你 r
， x
挽 v
着 uz
， x
我 r
的 uj
， x
胳膊 n
走 v
… x
… x
” x
我 r
一下子脸 m
烧 v
得 ud
像 v
炭火 n
一样 r
， x
赶忙 d
朝 ns
四下里 m
看 v
了 ul
看 v
。 x
我 r
看见 v
街上 s
有 v
许多 m
姑娘 n
都 d
挽 v
着 uz
小伙子 n
的 uj
胳膊 n
走路 n
。 x
我 r
犹豫 a
了 ul
一下 m
， x
就 d
挽住 v
了 ul
他 r
的 uj
胳膊 n
。 x
两个 m
人 n
几乎 d
都 d
不会 v
走路 n
了 ul
… x
… x
那天 r
， x
他 r
在 p
商店 n
里 f
给 p
我 r
买 v
了 ul
一条 m
漂亮 a
的 uj
连衣裙 nr
。 x
我 r
给 p
他 r
买 v
了 ul
一件 m
深蓝色 n
的 uj
毛料 n
上衣 n
。 x
从那以后 l
， x
我们 r
就 d
开始 v
了 ul
真正 d
的 uj
恋爱 v
。 x
一切 r
和 c
大城市 ns
里 f
的 uj
任何 r
青年 t
男女 n
一样 r
。 x
在 p
这个 r
过程 n
中 f
， x
我们 r
自己 r
当然 d
经历 n
了 ul
无数 m
甜蜜 a
而 c
新奇 nrt
的 uj
体验 n
， x
但 c
这些 r
东西 ns
对 p
大家 n
来说 u
并 c
没有 v
什么 r
特别 d
的 uj
地方 n
， x
因此 c
也 d
就 d
简略 n
了 ul
。 x
现在 t
我 r
再 d
顺便 ad
补充 v
几句 m
我 r
心爱人 nr
的 uj
长相 d
： x
薛峰 x
一米 m
七五 m
， x
个头 n
不算 v
低 a
； x
身板 n
茁壮 a
而 c
挺拔 v
， x
神态 n
潇洒 a
， x
五官 n
都 d
恰到好处 i
。 x
这 r
两年 m
， x
他 r
是 v
比 p
乡下 s
时 n
变化 vn
多 m
了 ul
， x
身上 s
的 uj
农民 n
血统 n
几乎 d
已经 d
看不出来 v
， x
像 v
个 q
典型 n
我 r
敢 v
毫不 d
害臊 a
地 uv
夸口 nrt
说 v
， x
我 r
爱 v
的 uj
这个 r
人 n
是 v
一个 m
漂亮 a
的 uj
男子汉 n
。 x
二 m
（ x
郑小芳 x
） x
随着 p
毕业 n
的 uj
日子 n
一天天 m
临近 v
， x
班上 s
和系 n
上 f
都 d
乱作一团 i
。 x
尽管 c
分配 vn
方案 n
还 d
没 v
公布 v
， x
有些 r
人 n
通过 p
关系 n
已经 d
知道 v
了 ul
自己 r
的 uj
命运 n
。 x
于是 c
， x
有 v
笑 v
的 uj
， x
有 v
哭 v
的 uj
， x
有闹 a
的 uj
， x
有 v
四处奔波 i
找 v
关系 n
的 uj
， x
一切 r
都 d
乱纷纷 z
的 uj
。 x
我 r
是 v
平静 a
的 uj
， x
因为 c
我 r
的 uj
命运 n
我 r
自己 r
已经 d
安排 v
好 a
了 ul
。 x
系上 n
的 uj
领导 n
曾多次 d
找 v
我 r
谈 v
过 ug
话 n
， x
想 v
让 v
我 r
留校 v
， x
但 c
我 r
拒绝 v
了 ul
， x
请求 v
把 p
我 r
分配 vn
在 p
我 r
要 v
去 v
的 uj
地方 n
。 x
领导 n
当然 d
再 d
不会 v
做 v
我 r
的 uj
工作 vn
， x
反而 c
表扬 v
了 ul
我 r
。 x
由于 c
我 r
和 c
其他 r
任何人 r
没有 v
利害冲突 n
， x
因此 c
全班同学 nt
还 d
像 v
往常 d
一样 r
尊重 a
我 r
。 x
其他人 rr
之间 f
就 d
不行 v
了 ul
， x
为了 p
争夺 v
一个 m
好 a
位置 v
， x
或者 c
怀疑 v
某个 r
人 n
拆 v
了 ul
自己 r
的 uj
台 n
， x
或者 c
猜测 vn
某个 r
人 n
把 p
自己 r
已 d
得到 v
的 uj
位置 v
挤掉 v
了 ul
， x
明争暗斗 i
， x
乱 d
得 ud
像 v
春秋战国 nr
一样 r
。 x
猜疑 v
和 c
怨恨 v
弥漫 v
在 p
共同 d
生活 vn
了 ul
四年 m
的 uj
人们 n
之间 f
， x
这 r
情景 n
真叫人 n
难受 v
。 x
我 r
同 p
宿舍 n
的 uj
李虹 x
， x
前 f
几天 m
脸上 s
还 d
阴云密布 nr
， x
这 r
几天 m
突然 ad
又 d
阳光灿烂 i
了 ul
， x
据 p
她 r
说 v
是 v
由于 c
我 r
不 d
留校 v
， x
这个 r
位置 v
分给 v
了 ul
她 r
。 x
她 r
说 v
她 r
要 v
感谢 v
我 r
。 x
我 r
向 p
她 r
祝贺 nr
， x
并且 c
指出 v
她 r
不 d
应该 v
感谢 v
我 r
。 x
她 r
学习 v
不错 a
， x
加上 v
从小 d
失去 v
父亲 n
， x
母亲 n
又 d
长年 d
有 v
病 n
， x
完全 ad
应该 v
留在 v
家门口 s
工作 vn
。 x
吃 v
过 ug
晚饭 n
， x
李虹 x
从 p
校门口 n
给 p
我 r
带来 v
一封信 i
。 x
这 r
是 v
薛峰 x
写给 v
我 r
的 uj
。 x
信 n
的 uj
内容 n
很 zg
简单 a
， x
让 v
我 r
在 p
第二天 m
上午 t
八点钟 m
到 v
老 a
地方 n
去 v
， x
他 r
有些 r
重要 a
的 uj
事 n
要 v
对 p
我 r
说 v
。 x
他 r
并且 c
在 p
“ x
重要 a
的 uj
事 n
” x
几个 m
字 n
下面 f
加 v
了 ul
着重号 n
。 x
我 r
敢 v
说 v
他 r
没什么 l
太 d
重要 a
的 uj
事 n
。 x
要 v
不 d
， x
他 r
不会 v
写信 v
， x
而 c
会 v
骑车来 n
找 v
我 r
的 uj
。 x
第二天 m
吃 v
过 ug
早点 d
， x
我 r
借 v
了 ul
李虹 x
的 uj
自行车 n
， x
就 d
向 p
我们 r
的 uj
“ x
老 a
地方 n
” x
那里 r
赶 v
去 v
。 x
我们 r
会面 n
的 uj
老 n
地方 n
是 v
南郊公园 x
的 uj
大门口 ns
。 x
但 c
通常 d
我们 r
并 c
不到 v
公园 n
去 v
， x
而是 c
在 p
这里 r
相会 v
， x
然后 c
一块 m
骑 v
着 uz
车子 n
去 v
省 n
第三 m
医院 n
后面 f
一块 m
麦田 nr
的 uj
水渠 n
边 d
。 x
那里 r
已经 d
到 v
了 ul
郊外 s
， x
非常 d
僻静 a
。 x
应该 v
说 v
， x
这儿 r
才 d
是 v
我们 r
真正 d
的 uj
“ x
老 a
地方 n
” x
。 x
这 r
地方 n
我们 r
去过 vq
不知 v
多少 m
次 q
。 x
我们 r
在 p
这里 r
看着 v
麦苗 nr
泛青 j
， x
发旺 l
， x
发黄 v
； x
然后 c
又 d
看着 v
麦子 nr
被 p
收割 v
， x
套种 n
的 uj
玉米 nr
又 d
长 a
起来 v
， x
吐 v
出 v
红缨 nr
， x
怀上 s
棒子 n
。 x
我们 r
在 p
这里 r
说 v
过 ug
甜蜜 a
的 uj
悄悄话 n
， x
并且 c
也 d
偷偷地 i
亲吻 n
过 ug
… x
… x
我 r
骑 v
着 uz
自行车 n
穿过 v
繁华 a
的 uj
大街 ns
。 x
整个 b
城市 ns
都 d
在 p
火辣辣 z
的 uj
阳光 nr
下 f
喘息 v
着 uz
。 x
即使 c
有 v
风 n
从 p
迎面 d
吹 v
来 v
， x
也 d
是 v
烫热 a
的 uj
。 x
行人 n
有气无力 l
， x
边 d
走 v
边 d
擦汗 v
。 x
大街 ns
上 f
弥漫着 l
一种 m
懒散 v
的 uj
气息 n
。 x
人们 n
的 uj
精力 n
和 c
智慧 nr
也 d
好像 v
被 p
太阳 ns
的 uj
热力 n
蒸发 v
了 ul
。 x
到 v
公园 n
门口 s
的 uj
时候 n
， x
我 r
看见 v
薛峰 x
已经 d
站 v
在 p
了 ul
那里 r
， x
自行车 n
撑 v
在 p
旁边 f
， x
车 zg
后座 n
上 f
夹 v
着 uz
一个 m
鼓鼓囊囊 z
的 uj
黄 n
书包 n
， x
里面 f
大概 d
装 v
着 uz
汽水 n
、 x
啤酒 n
一类 m
的 uj
饮料 n
的 uj
点心 v
。 x
每次 r
都 d
是 v
这样 r
， x
吃喝 v
的 uj
东西 ns
大部分 m
由 p
他 r
买 v
， x
但 c
事后 t
我 r
给 p
他 r
钱 n
。 x
他 r
花钱 n
大手大脚 i
， x
我 r
得 ud
常 d
给 p
他 r
支援 v
。 x
他 r
看 v
我 r
来 v
了 ul
， x
也 d
不 d
说话 v
， x
就 d
跨上 v
他 r
的 uj
车子 n
。 x
我们 r
于是 c
并肩 d
骑 v
着 uz
车子 n
， x
到 v
我们 r
亲爱 a
的 uj
“ x
老 a
地方 n
” x
去 v
。 x
路上 s
， x
我 r
问 v
他 r
： x
“ x
有 v
什么 r
紧要 a
事 n
？ x
” x
他 r
笑笑 v
， x
说 v
： x
“ x
没什么 l
， x
我 r
想 v
你 r
了 ul
… x
… x
” x
我 r
不好意思 a
再 d
看 v
他 r
， x
说 v
： x
“ x
才 d
一个月 m
没 v
见面 n
… x
… x
你们 r
实习 v
完 v
了 ul
？ x
” x
“ x
完 v
了 ul
。 x
已经 d
开始 v
